                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.138,                 3.3215,                 1.2301,                0.01393,                0.99153,                0.05694,                0.04718,                0.66931,                 3.0846,                0.95293,                0.00012,                0.00012,                0.00012
                      2,                0.92565,                  2.021,                 1.0453,                0.93394,                0.23967,                0.72031,                0.56433,                0.86813,                 2.5021,                0.98069,             0.00025485,             0.00025485,             0.00025485
                      3,                0.90447,                 1.7359,                 1.0406,                      1,                 0.0718,                0.93306,                0.74181,                0.77812,                 2.3494,                0.93677,             0.00038416,             0.00038416,             0.00038416
                      4,                0.79565,                  1.138,                0.95989,                0.03018,                 0.9322,                0.93238,                0.77177,                0.69706,                 2.3855,                0.91013,             0.00050792,             0.00050792,             0.00050792
                      5,                0.74441,                  1.054,                0.96121,                      1,                 0.4486,                0.90175,                0.75054,                0.67617,                  2.132,                0.96766,             0.00062614,             0.00062614,             0.00062614
                      6,                0.72978,                0.87187,                0.94334,                0.97587,                0.34271,                0.85658,                0.71456,                0.70814,                 2.2609,                0.96348,             0.00073882,             0.00073882,             0.00073882
                      7,                0.78451,                0.82364,                0.96875,                      1,                0.20274,                0.89307,                0.73005,                0.76576,                 2.3035,                 1.0026,             0.00084595,             0.00084595,             0.00084595
                      8,                0.76115,                0.78487,                0.94848,                      1,                0.42787,                0.88336,                0.72463,                0.74419,                 2.2156,                0.99012,             0.00094754,             0.00094754,             0.00094754
                      9,                0.74264,                0.81375,                0.93105,                      1,                0.81505,                0.97826,                0.81614,                0.70716,                 1.6897,                0.97074,              0.0010436,              0.0010436,              0.0010436
                     10,                0.72082,                0.77131,                0.93959,                      1,                0.63389,                0.93472,                0.77786,                0.71041,                 1.9536,                0.97951,              0.0011341,              0.0011341,              0.0011341
                     11,                0.68512,                0.76398,                0.92189,                      1,                0.44163,                0.73985,                0.60652,                0.83296,                 2.3028,                 1.0847,               0.001219,               0.001219,               0.001219
                     12,                0.69132,                0.74287,                0.93185,                0.98162,                0.90514,                0.96772,                 0.7768,                0.76088,                 1.3426,                  1.004,              0.0012985,              0.0012985,              0.0012985
                     13,                0.76613,                0.75082,                0.96271,                0.99002,                0.84066,                0.95963,                0.78775,                 0.7245,                 1.2828,                0.98077,              0.0013723,              0.0013723,              0.0013723
                     14,                0.68148,                0.74818,                0.92781,                 0.9816,                0.90411,                0.98496,                0.79218,                0.74507,                 1.2426,                0.98209,              0.0014406,              0.0014406,              0.0014406
                     15,                0.69204,                0.72648,                0.94171,                0.96643,                0.97594,                0.99297,                0.82767,                0.66592,                0.92733,                0.93863,              0.0014456,              0.0014456,              0.0014456
                     16,                0.66522,                0.69791,                0.93424,                0.96583,                0.95828,                0.99269,                0.84245,                 0.6374,                0.92689,                0.92281,               0.001406,               0.001406,               0.001406
                     17,                0.66316,                0.63184,                0.93731,                0.99616,                0.94915,                0.99265,                0.85399,                0.62875,                0.87591,                0.92714,              0.0013664,              0.0013664,              0.0013664
                     18,                0.73978,                0.68173,                0.94287,                      1,                0.97183,                0.99208,                0.78567,                0.76761,                0.75115,                 1.0522,              0.0013268,              0.0013268,              0.0013268
                     19,                0.74291,                0.71182,                0.93806,                0.94165,                0.95737,                0.98153,                0.79808,                0.68418,                0.96571,                0.95808,              0.0012872,              0.0012872,              0.0012872
                     20,                0.70864,                 0.6483,                0.92714,                0.98273,                0.96461,                0.98311,                0.78073,                0.75041,                 0.9577,                0.98545,              0.0012476,              0.0012476,              0.0012476
                     21,                0.73014,                 0.6305,                0.96695,                0.96653,                0.97901,                0.98351,                0.80518,                0.69897,                0.76302,                0.97307,               0.001208,               0.001208,               0.001208
                     22,                0.58114,                0.56893,                 0.8936,                 0.9747,                0.97966,                0.98744,                0.84978,                 0.6206,                0.58498,                0.94057,              0.0011684,              0.0011684,              0.0011684
                     23,                0.59769,                0.57858,                0.90658,                0.98481,                0.97458,                0.99111,                0.83367,                0.63664,                0.59164,                0.94331,              0.0011288,              0.0011288,              0.0011288
                     24,                0.63428,                0.58896,                0.90416,                0.97399,                0.95206,                0.99069,                0.84855,                0.61271,                0.64432,                0.91373,              0.0010892,              0.0010892,              0.0010892
                     25,                0.65491,                 0.6087,                0.98375,                  0.972,                 0.9661,                0.99213,                0.86604,                0.58602,                0.61505,                0.90499,              0.0010496,              0.0010496,              0.0010496
                     26,                0.58466,                0.53705,                0.90278,                0.98929,                 0.9661,                0.98649,                 0.8563,                0.58408,                0.53484,                0.92119,                0.00101,                0.00101,                0.00101
                     27,                0.65035,                0.59499,                0.92964,                0.99047,                0.95763,                0.98211,                  0.845,                0.61684,                0.55075,                0.94172,              0.0009704,              0.0009704,              0.0009704
                     28,                0.60184,                0.54471,                0.88538,                0.98624,                0.95763,                0.98543,                 0.8522,                0.56642,                0.50382,                 0.9052,              0.0009308,              0.0009308,              0.0009308
                     29,                0.65818,                0.56748,                0.91322,                0.99062,                0.95763,                0.98784,                 0.8581,                0.55924,                0.49816,                0.90193,              0.0008912,              0.0008912,              0.0008912
                     30,                0.57639,                0.50999,                0.89267,                0.98014,                 0.9661,                0.99257,                0.87406,                0.55943,                0.50785,                0.90704,              0.0008516,              0.0008516,              0.0008516
                     31,                0.57411,                0.49877,                0.90412,                0.96774,                0.98305,                0.99357,                0.86642,                0.55979,                0.49897,                0.90385,               0.000812,               0.000812,               0.000812
                     32,                0.56246,                0.50292,                0.88516,                0.97274,                0.97458,                0.99203,                 0.8626,                0.56924,                 0.5004,                0.90548,              0.0007724,              0.0007724,              0.0007724
                     33,                0.57382,                 0.4784,                0.89681,                 0.9718,                0.97458,                0.99147,                0.86686,                0.55925,                0.48973,                0.90477,              0.0007328,              0.0007328,              0.0007328
                     34,                0.58114,                0.49406,                0.88545,                0.95863,                0.98192,                0.99123,                0.86739,                0.57805,                0.47765,                0.91021,              0.0006932,              0.0006932,              0.0006932
                     35,                  0.541,                0.48469,                0.89195,                0.96471,                0.98305,                0.99265,                0.86187,                0.56486,                0.45834,                0.89938,              0.0006536,              0.0006536,              0.0006536
                     36,                0.58162,                0.49229,                0.87401,                0.97269,                0.98305,                0.99255,                0.85017,                0.60164,                0.45874,                0.91267,               0.000614,               0.000614,               0.000614
                     37,                 0.5821,                0.48966,                0.89136,                0.99144,                0.98164,                0.99327,                0.86045,                0.59012,                0.44599,                0.90862,              0.0005744,              0.0005744,              0.0005744
                     38,                0.57026,                 0.5145,                0.92037,                0.98985,                0.98305,                0.99351,                0.87921,                0.55482,                0.45023,                0.90029,              0.0005348,              0.0005348,              0.0005348
                     39,                0.58832,                0.52601,                0.90365,                0.99098,                0.97458,                0.99392,                0.86397,                0.55091,                0.43951,                0.89962,              0.0004952,              0.0004952,              0.0004952
                     40,                0.52904,                0.44901,                0.86767,                0.97419,                0.98305,                0.99383,                0.86594,                0.54448,                0.43896,                0.89492,              0.0004556,              0.0004556,              0.0004556
                     41,                0.51532,                0.45592,                0.87173,                0.95816,                0.99153,                0.99332,                0.86312,                0.54787,                0.43865,                0.89588,               0.000416,               0.000416,               0.000416
                     42,                0.54268,                0.42502,                0.85987,                0.96689,                0.98985,                0.99357,                 0.8638,                0.56346,                0.44652,                0.90093,              0.0003764,              0.0003764,              0.0003764
                     43,                0.48696,                0.45921,                0.86515,                0.96624,                0.99153,                0.99366,                0.86798,                0.54697,                0.45062,                0.89065,              0.0003368,              0.0003368,              0.0003368
                     44,                0.51022,                 0.4261,                0.84513,                0.97498,                0.99072,                0.99389,                0.86669,                0.54699,                0.43897,                0.88798,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.5034,                0.45194,                0.86292,                0.98305,                0.98283,                0.99391,                0.86826,                0.54521,                0.43139,                0.88595,              0.0002576,              0.0002576,              0.0002576
                     46,                0.44762,                0.39256,                0.82813,                0.98268,                0.98305,                0.99399,                0.86601,                0.54383,                0.42098,                0.88775,               0.000218,               0.000218,               0.000218
                     47,                0.49516,                0.41682,                0.86599,                0.98172,                0.98305,                0.99432,                0.87134,                0.53704,                0.41174,                0.88446,              0.0001784,              0.0001784,              0.0001784
                     48,                0.48358,                0.40135,                0.86799,                  0.983,                0.97981,                0.99425,                0.87646,                0.53242,                0.40708,                0.88267,              0.0001388,              0.0001388,              0.0001388
                     49,                0.48814,                0.44154,                0.83681,                      1,                0.97319,                0.99434,                0.87713,                0.53043,                0.40297,                0.88206,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.47461,                0.39025,                0.84551,                 0.9978,                0.97458,                0.99434,                0.88127,                0.52777,                 0.3973,                0.88131,               5.96e-05,               5.96e-05,               5.96e-05
